featureid	state	dot_district	county	town
201475651	Vermont	2	Windham	Marlboro
201475941	Vermont	1	Bennington	Woodford
201475941	Vermont	1	Bennington	Searsburg
201475896	Vermont	1	Windham	Searsburg
201475896	Vermont	1	Windham	Wilmington
201475896	Vermont	1	Bennington	Searsburg
201475896	Vermont	1	Bennington	Wilmington
201475795	Vermont	1	Bennington	Searsburg
201475690	Vermont	1	Bennington	Searsburg
201475763	Vermont	1	Windham	Wilmington
201475835	Vermont	1	Bennington	Searsburg
201475702	Vermont	1	Bennington	Searsburg
201475740	Vermont	1	Bennington	Woodford
201475751	Vermont	1	Bennington	Glastenbury
201475751	Vermont	1	Bennington	Woodford
201475870	Vermont	1	Bennington	Woodford
201475877	Vermont	1	Windham	Wilmington
201475878	Vermont	1	Windham	Wilmington
201475843	Vermont	1	Bennington	Searsburg
201475819	Vermont	1	Bennington	Searsburg
201475851	Vermont	1	Bennington	Searsburg
201475828	Vermont	1	Windham	Wilmington
201475959	Vermont	1	Windham	Wilmington
201476034	Vermont	1	Windham	Wilmington
201475895	Vermont	1	Bennington	Searsburg
201475897	Vermont	1	Windham	Wilmington
201475897	Vermont	1	Windham	Marlboro
201475897	Vermont	2	Windham	Wilmington
201475897	Vermont	2	Windham	Marlboro
201475936	Vermont	2	Windham	Marlboro
201476232	Vermont	2	Windham	Marlboro
201476232	Vermont	2	Windham	Halifax
201475972	Vermont	1	Windham	Wilmington
201476031	Vermont	2	Windham	Marlboro
201476060	Vermont	1	Windham	Wilmington
201475970	Vermont	1	Bennington	Searsburg
201475927	Vermont	1	Windham	Wilmington
201475927	Vermont	1	Windham	Marlboro
201475927	Vermont	2	Windham	Wilmington
201475927	Vermont	2	Windham	Marlboro
201475935	Vermont	2	Windham	Marlboro
201476132	Vermont	1	Bennington	Woodford
201476132	Vermont	1	Bennington	Searsburg
201476107	Vermont	2	Windham	Marlboro
201476107	Vermont	2	Windham	Halifax
201475973	Vermont	1	Windham	Wilmington
201475980	Vermont	2	Windham	Marlboro
201476024	Vermont	2	Windham	Marlboro
201475961	Vermont	1	Bennington	Woodford
201475961	Vermont	1	Bennington	Searsburg
201476011	Vermont	1	Windham	Wilmington
201476011	Vermont	1	Bennington	Wilmington
201476012	Vermont	1	Windham	Wilmington
201475971	Vermont	1	Windham	Wilmington
201476108	Vermont	2	Windham	Marlboro
201476108	Vermont	2	Windham	Halifax
201476089	Vermont	1	Bennington	Woodford
201476089	Vermont	1	Bennington	Searsburg
201476090	Vermont	1	Bennington	Searsburg
201476218	Vermont	2	Windham	Marlboro
201476218	Vermont	2	Windham	Brattleboro
201476218	Vermont	2	Windham	Halifax
201476218	Vermont	2	Windham	Guilford
201475983	Vermont	1	Bennington	Searsburg
201476002	Vermont	1	Windham	Wilmington
201476008	Vermont	1	Windham	Wilmington
201476030	Vermont	2	Windham	Marlboro
201476294	Vermont	2	Windham	Marlboro
201476294	Vermont	2	Windham	Halifax
201476151	Vermont	1	Bennington	Searsburg
201476185	Vermont	2	Windham	Marlboro
201476069	Vermont	1	Bennington	Searsburg
201476033	Vermont	1	Windham	Wilmington
201476086	Vermont	1	Windham	Wilmington
201476058	Vermont	1	Windham	Wilmington
201476042	Vermont	1	Windham	Searsburg
201476042	Vermont	1	Windham	Wilmington
201476042	Vermont	1	Bennington	Searsburg
201476042	Vermont	1	Bennington	Wilmington
201476053	Vermont	1	Windham	Wilmington
201476134	Vermont	2	Windham	Marlboro
201476048	Vermont	1	Windham	Wilmington
201476067	Vermont	1	Windham	Searsburg
201476067	Vermont	1	Windham	Wilmington
201476067	Vermont	1	Bennington	Searsburg
201476067	Vermont	1	Bennington	Wilmington
201476054	Vermont	1	Windham	Wilmington
201476057	Vermont	1	Windham	Wilmington
201476129	Vermont	1	Windham	Wilmington
201476133	Vermont	1	Windham	Searsburg
201476133	Vermont	1	Windham	Wilmington
201476133	Vermont	1	Windham	Readsboro
201476133	Vermont	1	Bennington	Searsburg
201476133	Vermont	1	Bennington	Wilmington
201476133	Vermont	1	Bennington	Readsboro
201476131	Vermont	1	Windham	Wilmington
201476131	Vermont	1	Bennington	Wilmington
201476195	Vermont	1	Windham	Wilmington
201476228	Vermont	1	Bennington	Searsburg
201476228	Vermont	1	Bennington	Readsboro
201476142	Vermont	2	Windham	Marlboro
201476141	Vermont	1	Windham	Wilmington
201476152	Vermont	1	Windham	Wilmington
201476296	Vermont	2	Windham	Marlboro
201476296	Vermont	2	Windham	Halifax
201476199	Vermont	1	Windham	Wilmington
201476177	Vermont	1	Bennington	Searsburg
201476217	Vermont	1	Bennington	Searsburg
201476217	Vermont	1	Bennington	Readsboro
201476211	Vermont	1	Windham	Wilmington
201476205	Vermont	1	Bennington	Woodford
201476205	Vermont	1	Bennington	Searsburg
201476171	Vermont	1	Windham	Wilmington
201476197	Vermont	1	Windham	Wilmington
201476197	Vermont	1	Windham	Marlboro
201476197	Vermont	2	Windham	Wilmington
201476197	Vermont	2	Windham	Marlboro
201476315	Vermont	1	Windham	Wilmington
201476231	Vermont	2	Windham	Marlboro
201476231	Vermont	2	Windham	Halifax
201476302	Vermont	2	Windham	Marlboro
201476302	Vermont	2	Windham	Halifax
201476357	Vermont	2	Windham	Guilford
201476241	Vermont	2	Windham	Marlboro
201476241	Vermont	2	Windham	Halifax
201476241	Vermont	2	Windham	Guilford
201476265	Vermont	1	Bennington	Searsburg
201476265	Vermont	1	Bennington	Readsboro
201476349	Vermont	1	Bennington	Searsburg
